age,income,credit_score,months_customer,num_products,balance,country,gender,has_credit_card,is_active_member,churn
62,73441.0,383,86,1,21955.392322980195,Germany,Male,Yes,Yes,1
58,20846.0,752,3,3,95986.28027134553,,Female,Yes,Yes,0
46,,686,76,3,61630.048592572406,Germany,Female,Yes,No,0
32,,806,92,2,55687.84431720959,Germany,Male,No,No,0
62,133689.0,556,30,1,41577.51035233219,France,Female,Yes,No,1
18,66514.0,826,90,4,42894.433343014425,USA,Female,No,Yes,0
42,108236.0,461,112,2,54090.50038380808,UK,Female,Yes,No,1
24,117579.0,462,21,4,,France,Female,No,Yes,0
26,148644.0,823,28,4,70214.60961818295,USA,Female,Yes,No,1
41,26469.0,570,90,1,17169.390770544956,Germany,Female,Yes,No,1
18,50105.0,791,62,3,50011.2752076627,Germany,Male,No,No,1
61,62101.0,507,33,1,41195.80950341019,France,Female,No,Yes,0
25,84323.0,838,85,4,87052.69662693841,Germany,Female,No,Yes,0
41,111922.0,359,35,2,63141.89212183764,Spain,Male,No,Yes,0
28,78067.0,729,52,4,53250.40664159818,France,Male,No,Yes,0
68,69376.0,608,34,2,11539.464217891737,USA,Female,Yes,Yes,0
34,65587.0,819,41,2,60563.788932341144,France,Male,No,Yes,0
25,56976.0,326,51,1,11720.390568023342,UK,Female,Yes,Yes,1
52,124587.0,498,47,4,33720.65755657521,France,Female,Yes,Yes,1
52,147534.0,686,82,3,14284.196481433186,Germany,Male,Yes,Yes,0
50,87584.0,648,58,4,69207.36470243688,Germany,Female,Yes,No,0
22,124537.0,835,75,4,20625.21138361526,Spain,Female,Yes,No,1
59,,677,57,3,39185.9373188026,Spain,Male,No,Yes,0
56,130911.0,826,23,1,89567.47776187786,Spain,Male,No,Yes,0
58,62533.0,452,48,4,20431.63833989703,USA,Male,Yes,Yes,0
45,21828.0,505,22,4,50780.506395877914,Spain,Male,Yes,Yes,0
24,21917.0,754,17,2,41927.1661166022,USA,Female,No,No,1
26,40618.0,572,69,4,1812.4041045729732,Spain,Male,No,No,1
25,52254.0,535,108,3,79275.81135728127,USA,Male,Yes,Yes,0
29,125292.0,820,11,2,,France,Male,No,No,1
51,136714.0,800,94,1,47425.50209769536,France,Male,No,No,1
50,67362.0,416,15,2,56067.82949389499,Germany,Male,No,Yes,0
65,40128.0,685,91,3,62842.64566145871,USA,Female,Yes,Yes,0
40,143781.0,643,35,3,68863.16293078756,,Male,No,Yes,0
41,131281.0,694,33,2,25327.23835227151,Germany,Female,Yes,Yes,0
54,79383.0,363,84,1,997.8776658449373,France,Male,Yes,No,1
52,85545.0,371,16,2,72344.3662354912,USA,Male,Yes,Yes,0
61,102180.0,573,34,1,53565.65993475786,Spain,Male,Yes,No,1
57,107958.0,619,66,2,83611.77032072487,UK,Male,Yes,Yes,0
39,29865.0,637,99,3,82138.83629006943,France,Male,No,No,1
44,22219.0,665,40,4,84332.61677878832,Germany,Male,Yes,Yes,0
52,59809.0,794,28,4,48509.465997954016,USA,Male,Yes,Yes,0
18,136748.0,465,47,1,33362.83958368657,UK,Male,Yes,No,1
52,,843,39,1,79155.820259137,USA,Female,No,No,1
54,146593.0,310,70,1,45129.411302925495,Spain,Male,No,No,1
64,54387.0,600,73,3,18344.21964034345,Germany,Female,No,Yes,0
31,28512.0,401,20,2,85497.40195614743,USA,Male,No,No,1
20,21342.0,724,1,3,88255.98767723472,France,Female,No,No,1
18,83076.0,691,72,4,46630.975614017014,Germany,Male,No,No,1
22,128872.0,513,119,1,7569.972730978747,France,Male,No,No,1
43,39216.0,387,87,2,38782.60899169312,USA,Male,Yes,No,1
31,137512.0,700,63,4,80353.76594626033,Germany,Female,Yes,No,0
56,136682.0,345,67,4,90177.40285462287,France,Female,No,No,1
44,113070.0,762,4,4,20347.274249759583,Spain,Female,Yes,No,1
26,99767.0,609,58,3,6697.361202527152,Spain,Female,Yes,No,1
32,117829.0,385,25,1,87735.04531328386,USA,Male,No,Yes,0
32,46614.0,391,47,4,,Germany,Male,Yes,Yes,0
43,56258.0,541,38,1,54176.096426756325,UK,Male,Yes,No,1
59,113789.0,301,15,3,96806.5812050759,Germany,Female,No,Yes,0
30,62078.0,524,63,4,6656.472791422286,Spain,Male,Yes,Yes,0
68,126288.0,415,21,3,64831.800745209555,France,Female,No,No,1
49,103524.0,402,99,3,7410.542257486707,UK,Female,No,No,1
56,116573.0,493,57,1,37546.89284665004,USA,Female,Yes,No,1
66,32219.0,465,117,4,80381.45451934467,UK,Female,Yes,No,1
69,20235.0,389,53,3,43347.22327556344,USA,Female,Yes,No,1
49,62929.0,421,46,4,99718.23539029504,UK,Male,No,No,1
21,147309.0,442,116,1,55905.92849466022,USA,Female,No,Yes,1
47,87444.0,405,14,3,32116.21526359535,,Female,No,No,1
54,28567.0,727,100,1,22011.132590475314,UK,Male,Yes,Yes,0
40,121834.0,604,76,4,35052.05342861618,UK,Female,Yes,No,1
56,90792.0,616,17,4,37253.32737595508,USA,Female,No,No,1
62,85441.0,308,39,1,6871.367772396097,Spain,Male,Yes,Yes,1
32,104555.0,372,9,2,,UK,Male,Yes,No,1
60,93698.0,658,99,3,46423.851973922494,Germany,Male,No,No,0
46,144450.0,522,77,4,72273.77522388047,France,Female,No,Yes,0
53,137248.0,715,79,4,65672.9484721608,USA,Male,Yes,No,0
30,25415.0,669,82,3,,USA,Male,No,Yes,0
49,56159.0,563,115,1,836.3681876857098,France,Male,Yes,No,1
24,63925.0,617,97,1,21766.739958053604,Spain,Female,No,No,1
68,146523.0,383,6,1,66168.42883998565,France,Male,No,Yes,0
39,,617,91,2,48398.93681797471,UK,Female,No,No,0
45,107388.0,410,23,2,531.3475668345947,France,Female,Yes,Yes,0
19,28007.0,550,59,4,80449.46424318223,USA,Male,Yes,Yes,0
59,146730.0,682,91,1,77280.95732903374,France,Female,No,Yes,0
62,61832.0,306,98,3,54841.916299356264,Germany,Female,No,No,1
23,78596.0,758,46,4,6646.332577627212,UK,Male,No,No,1
45,141101.0,383,38,3,76651.50495325847,France,Female,Yes,Yes,0
45,50523.0,507,14,4,58371.358773136395,USA,Male,No,No,0
61,108861.0,689,100,2,78195.99771579592,UK,Female,No,No,1
61,144194.0,613,117,4,75174.69923958404,USA,Female,No,No,0
37,106740.0,321,72,2,80300.20719578372,Spain,Male,No,Yes,0
47,35524.0,709,62,4,51800.806640462484,Germany,Male,Yes,No,0
28,149028.0,814,35,1,,Spain,Female,Yes,Yes,1
45,39282.0,426,19,3,67115.74733796887,Germany,Female,No,No,1
42,43930.0,313,30,1,62047.37850519706,France,Male,Yes,No,1
56,20077.0,311,78,4,74225.31871990871,UK,Female,Yes,Yes,1
50,125881.0,386,84,4,16988.10060507353,France,Female,Yes,No,1
18,145501.0,823,113,4,19497.519990028923,Germany,Female,No,Yes,0
44,40611.0,836,25,2,89040.95172193286,Germany,Female,Yes,No,0
69,36984.0,600,40,3,74997.77984520709,Germany,Male,Yes,Yes,0
30,34060.0,542,88,3,90822.84887003229,USA,Male,Yes,No,1
58,102985.0,421,14,4,75871.53211639207,UK,Male,No,No,1
20,104056.0,446,26,4,59715.530599030186,France,Male,No,No,1
56,145329.0,655,102,2,65413.273702787366,France,Male,Yes,Yes,0
23,63303.0,608,87,1,88912.792394001,Spain,Male,Yes,Yes,0
25,79207.0,587,22,1,57880.67545119405,Germany,Female,No,Yes,1
44,95046.0,606,48,3,63239.13243283874,Germany,Male,No,No,1
26,49287.0,848,83,2,15647.671600360058,,Female,Yes,Yes,0
54,113709.0,651,110,4,47392.12201161027,France,Female,Yes,Yes,0
50,59711.0,611,51,3,71639.7111958099,Spain,Female,No,Yes,0
68,31954.0,358,3,2,27094.269831636542,USA,Male,No,Yes,1
59,93340.0,334,42,1,20225.418052453493,,Female,Yes,Yes,1
61,,744,19,2,31382.680822441554,USA,Male,No,Yes,0
41,91520.0,392,73,1,24150.062799283343,France,Female,Yes,Yes,1
32,107062.0,506,28,2,21491.263703639586,Germany,Female,Yes,Yes,0
49,122974.0,652,84,3,42485.08428680869,UK,Male,Yes,Yes,0
49,38574.0,631,45,1,90783.8513883534,France,Female,No,Yes,0
41,29184.0,458,71,3,50705.96467387183,France,Female,Yes,No,1
58,39096.0,323,78,3,18792.038081532304,France,Female,Yes,No,1
69,87728.0,703,63,1,7697.166938087407,UK,Female,No,Yes,0
66,54016.0,815,73,1,69615.61451379252,UK,Male,No,No,1
66,31246.0,663,119,4,38279.87644363879,Spain,Female,Yes,No,0
69,65558.0,681,19,4,82183.09465853592,Spain,Female,Yes,Yes,0
29,138721.0,831,47,4,65951.07686407703,USA,Male,No,Yes,0
56,38381.0,451,116,3,79624.14505413685,UK,Female,No,Yes,0
19,147796.0,719,14,3,27194.603941844874,UK,Female,No,No,1
20,56455.0,549,38,4,69235.89224610581,UK,Female,Yes,Yes,0
66,,416,53,3,26406.198469371877,Spain,Female,Yes,No,1
54,24018.0,811,61,3,93906.84794502916,France,Male,Yes,Yes,0
66,31302.0,634,36,1,63637.42815333744,Germany,Female,No,No,1
34,87506.0,717,40,1,32451.18001753421,Spain,Male,Yes,No,1
66,61157.0,594,81,3,26951.186229227264,UK,Female,No,Yes,0
19,74917.0,670,30,4,19092.65850716435,Spain,Female,Yes,Yes,0
19,112738.0,485,9,2,69464.09588937278,USA,Female,No,No,1
45,116646.0,545,64,4,21871.56129979273,UK,Male,Yes,No,1
40,103122.0,567,33,2,59530.326592748905,USA,Female,Yes,Yes,0
54,44519.0,536,52,4,26463.502692535734,UK,Female,No,Yes,0
49,116809.0,829,89,1,66196.89447938686,Spain,Male,No,No,1
50,107487.0,320,14,3,81493.97285405392,France,Male,Yes,Yes,0
18,76819.0,819,75,3,77802.52431446532,Germany,Male,No,No,1
36,100910.0,399,53,1,76085.13309307817,USA,Male,No,Yes,1
19,140430.0,777,99,2,18772.240569225207,Spain,Female,Yes,Yes,0
61,91324.0,597,105,2,8838.49469845187,France,Female,No,Yes,0
43,25408.0,825,59,2,69894.88284873856,Spain,Female,Yes,No,1
49,79379.0,633,78,1,36834.721379435134,USA,Female,Yes,Yes,0
23,45053.0,301,94,2,43234.62264033473,Germany,Male,No,No,1
49,29446.0,674,41,1,3114.9092793391064,Spain,Female,No,Yes,0
21,20922.0,592,68,4,25957.64492750492,UK,Female,Yes,No,1
28,118723.0,617,68,4,3367.640387446402,France,Female,Yes,No,1
34,71356.0,801,92,1,87918.57726012476,Spain,Female,Yes,Yes,0
55,30789.0,680,8,3,24339.66832185305,France,Male,Yes,No,0
41,117720.0,313,2,4,55733.71695730081,UK,Female,Yes,No,1
22,86656.0,803,105,2,3897.9320661130414,Germany,Female,Yes,No,1
69,64028.0,530,110,1,66684.73913056581,Germany,Female,No,No,1
51,84484.0,383,86,2,32302.734575409388,UK,Male,No,Yes,0
23,,429,41,2,89791.91869576658,France,Male,No,Yes,1
39,102870.0,444,55,3,88811.81889340359,Spain,Female,Yes,Yes,0
28,22336.0,327,16,2,32529.061836174777,UK,Female,No,No,1
65,123677.0,365,93,3,90096.08956904679,USA,Female,Yes,No,1
33,87779.0,462,62,4,99615.76734987787,France,Male,Yes,Yes,0
50,39029.0,528,113,1,82541.56641239481,Germany,Female,No,Yes,0
26,79201.0,560,48,2,84487.13477552289,UK,Female,Yes,No,1
23,52265.0,748,30,1,24900.87361090899,Germany,Female,Yes,Yes,0
33,122916.0,723,12,2,57670.239885775634,France,Male,Yes,Yes,0
46,132250.0,759,35,1,6725.591396736785,Germany,Female,Yes,No,1
20,136553.0,600,11,2,9491.793682166972,UK,Female,Yes,Yes,1
37,,602,64,2,99889.26120332906,France,Male,Yes,No,0
53,66197.0,586,110,2,32663.924942591093,USA,Male,No,Yes,0
36,145733.0,694,50,2,74818.39120488464,UK,Female,Yes,No,1
43,75180.0,309,85,2,80666.50530268165,Spain,Male,Yes,No,1
20,43710.0,569,21,2,85802.32710072292,UK,Female,Yes,No,1
36,49486.0,660,69,2,99762.82974021565,France,Male,Yes,No,1
37,91907.0,556,48,2,24149.648525686785,UK,Male,No,No,1
49,148876.0,432,20,2,4035.0826859699705,USA,Female,No,Yes,1
24,91895.0,575,101,1,41119.151799458596,USA,Female,Yes,Yes,0
69,84435.0,812,67,3,13008.066982894696,Spain,Female,Yes,Yes,0
58,60631.0,612,44,2,2242.5889162055123,Germany,Male,Yes,No,1
50,149038.0,583,33,3,36042.682714148614,France,Female,No,Yes,0
57,121532.0,420,117,2,78373.82510752365,France,Female,No,No,1
56,40103.0,406,73,2,56618.069122507084,Germany,Female,No,No,1
35,84772.0,503,61,1,31277.798921035406,USA,Female,No,Yes,0
57,146108.0,464,9,4,65434.20054927197,USA,Female,Yes,No,1
18,34382.0,604,68,4,23201.818030881073,UK,Male,No,Yes,0
28,104291.0,796,35,1,1438.1446072085025,Spain,Female,No,No,1
45,121195.0,455,81,3,76435.33864364274,Spain,Female,Yes,No,1
42,23756.0,666,98,4,62374.30848640091,Spain,Male,Yes,Yes,0
67,40609.0,550,88,1,76230.262450096,UK,Female,No,No,1
40,134074.0,633,96,1,3893.8016687665613,Spain,Female,No,Yes,1
48,36478.0,810,65,4,83711.96278306522,Germany,Female,No,No,1
47,120978.0,592,8,3,61952.620003630334,UK,Female,No,Yes,0
59,59666.0,319,45,1,56339.535071264014,Germany,Female,Yes,No,1
52,95683.0,581,87,2,62461.40481145316,UK,Male,Yes,Yes,0
24,119097.0,300,47,3,86443.32468683641,Spain,Male,No,Yes,1
33,144714.0,418,40,3,58693.650655890706,Germany,Male,No,No,1
43,120420.0,334,76,4,58095.03798881793,Germany,Female,No,Yes,0
65,91315.0,497,54,4,99067.91570657658,Germany,Male,No,No,1
69,97834.0,784,76,2,75673.0167068568,UK,Female,No,No,0
66,146205.0,358,46,1,44229.38054511353,France,Female,Yes,Yes,1
19,34153.0,460,47,4,70739.70000329278,Spain,Female,Yes,Yes,1
18,129415.0,505,15,4,38923.04716917885,Germany,Male,Yes,Yes,0
65,96325.0,311,105,3,22887.5462483499,France,Male,No,Yes,0
29,129701.0,789,19,4,59685.18768877594,Spain,Male,No,Yes,0
22,32999.0,575,26,4,92818.20981139515,Spain,Female,Yes,No,1
54,75318.0,541,52,4,92913.95200154628,Germany,Male,Yes,Yes,0
49,20814.0,515,93,4,34190.52781054903,Germany,Female,No,No,1
26,135033.0,550,22,3,52767.7466221695,UK,Male,Yes,Yes,0
58,96077.0,425,104,2,21163.58985698612,France,Male,No,Yes,0
52,110474.0,516,21,2,99563.11094988835,France,Female,No,Yes,0
36,22443.0,605,51,1,98111.79078679357,Germany,Female,Yes,No,1
65,95993.0,484,38,4,64950.89297074473,Spain,Male,Yes,Yes,0
33,95916.0,338,20,3,80441.40596774734,Germany,Male,Yes,No,1
20,93319.0,522,29,1,71510.01612837,Spain,Male,No,No,1
37,145885.0,483,51,1,59315.82190394682,Spain,Female,No,No,1
41,129777.0,794,4,2,5334.799698889769,Germany,Female,Yes,Yes,0
50,37368.0,726,55,3,45476.434255266104,USA,Male,No,No,0
41,35328.0,477,71,3,67478.63021674105,France,Male,No,Yes,1
69,76942.0,727,92,3,67753.16138836846,Spain,Female,No,No,0
28,111751.0,593,28,2,37312.26184223836,Spain,Male,Yes,Yes,0
66,,450,4,2,,USA,Female,No,No,1
25,47306.0,683,22,2,16735.7032236781,UK,Female,Yes,Yes,0
53,105451.0,607,76,2,50035.94462155606,USA,Female,Yes,Yes,0
55,59915.0,635,45,2,69088.39765508228,USA,Female,No,Yes,0
57,57219.0,674,67,4,69713.58058918093,Spain,Female,Yes,No,0
37,100879.0,307,86,4,64863.895676881555,France,Female,No,No,1
52,131939.0,640,108,3,27528.821345186017,USA,Male,Yes,Yes,0
65,84644.0,428,66,1,15620.656868662198,UK,Female,Yes,No,1
42,,651,88,3,63594.03268267109,Germany,Female,No,No,0
52,73028.0,657,34,1,59930.21161394377,USA,Male,Yes,No,1
42,124263.0,816,91,2,17935.6010289241,USA,Female,Yes,No,0
46,20126.0,794,55,1,70513.91455705633,UK,Male,Yes,No,1
35,72329.0,385,105,3,45517.19917336564,France,Female,No,No,1
63,47632.0,474,1,3,66776.05916031529,USA,Male,No,No,1
35,127099.0,492,72,1,83736.70797701507,USA,Male,Yes,Yes,0
19,85310.0,610,87,4,16972.842857692318,France,Female,Yes,Yes,0
52,129945.0,418,38,2,1914.4867996836679,UK,Female,Yes,No,1
33,75176.0,517,6,2,77910.25863957868,USA,Female,No,Yes,0
58,139797.0,726,86,3,60969.74251526159,France,Female,No,Yes,0
53,106066.0,713,25,4,69963.95696221216,USA,Male,Yes,Yes,0
50,125500.0,413,82,1,83815.49749886425,Germany,Male,No,No,1
21,146413.0,444,17,2,80281.09348245004,Spain,Male,No,No,1
50,64327.0,837,61,4,96092.01469288247,Germany,Female,No,No,0
31,88904.0,602,12,2,53593.507885211824,USA,Male,No,No,0
38,23797.0,644,6,4,48849.56326599054,UK,Female,Yes,No,0
65,67882.0,300,90,4,40188.719989073004,Spain,Female,No,Yes,0
37,33718.0,446,27,3,15369.104284420455,Germany,Male,No,No,1
25,54560.0,586,8,2,57260.72328820224,France,Female,Yes,Yes,0
24,96589.0,352,83,1,27701.252432597877,UK,Male,Yes,No,1
20,42116.0,603,106,3,92130.75122129754,,Female,No,Yes,0
34,56244.0,368,65,3,58319.080427709756,France,Male,No,No,1
50,121721.0,660,57,1,59284.01805081101,USA,Female,Yes,No,1
65,21645.0,519,93,3,35492.466087701,France,Male,Yes,No,0
29,67523.0,460,109,4,5198.935197770748,Germany,Male,Yes,No,1
68,144085.0,388,113,4,3174.376537298862,Germany,Female,No,No,1
39,137718.0,458,99,2,42333.51441531975,USA,Female,No,No,1
39,39256.0,788,40,2,8456.537809723784,France,Male,Yes,Yes,0
63,121376.0,623,14,1,,France,Female,No,No,1
47,120158.0,680,35,2,88097.30056396573,USA,Female,Yes,Yes,0
55,73173.0,401,48,4,88291.48165187222,France,Female,No,No,1
55,57430.0,793,109,1,65904.54101322324,USA,Male,Yes,Yes,0
62,59282.0,318,84,1,21123.1831472931,UK,Male,Yes,Yes,0
68,139719.0,753,56,2,86299.6831358872,Germany,Female,No,Yes,0
25,83374.0,781,49,4,88609.34353132082,UK,Female,No,Yes,0
44,88244.0,696,13,1,19665.35849529587,Spain,Male,No,Yes,0
44,,578,61,4,73742.60857706773,Spain,Female,No,Yes,0
51,76264.0,664,102,4,28651.954892712296,Spain,Male,No,No,1
38,95060.0,630,49,4,80264.03123529296,USA,Female,No,Yes,0
47,117416.0,643,46,2,99723.78999036027,,Female,Yes,No,0
50,77545.0,754,113,3,3002.6005329392815,UK,Female,No,No,1
45,138195.0,364,62,3,89736.58657909319,UK,Male,Yes,Yes,0
64,59224.0,375,8,1,62263.05335986581,UK,Male,Yes,Yes,1
50,122516.0,442,43,4,97338.26191648212,UK,Male,No,No,1
22,117945.0,772,20,2,46500.95175264276,Spain,Male,Yes,Yes,0
65,33224.0,716,97,4,84738.79305713737,UK,Female,Yes,Yes,0
36,60738.0,604,90,4,6239.406859827723,France,Female,No,Yes,0
21,45150.0,796,39,2,33527.90500782957,Spain,Male,No,Yes,0
52,83731.0,590,85,3,6701.653775120997,UK,Female,No,Yes,0
66,69688.0,401,117,4,97534.31334790705,USA,Female,Yes,Yes,1
34,119929.0,566,49,4,81697.39072718367,Germany,Male,No,Yes,0
61,,302,64,3,85254.74212459705,Germany,Female,No,No,1
45,93509.0,384,62,2,93796.52314338942,Germany,Female,No,Yes,0
47,28577.0,627,106,1,,Spain,Male,No,No,1
46,28070.0,749,107,3,38559.75925133334,UK,Female,Yes,No,1
63,146161.0,753,54,1,7103.488904400213,Spain,Female,No,No,1
23,28666.0,520,105,1,21079.310155002862,France,Female,Yes,No,1
52,77761.0,453,9,3,22936.577703767234,USA,Male,No,Yes,0
58,141178.0,311,88,4,46910.72110475787,USA,Male,Yes,No,1
54,56368.0,432,37,1,26856.216745364258,Germany,Female,Yes,No,1
41,26783.0,603,49,1,10097.810681776109,Germany,Female,Yes,No,1
46,131530.0,592,41,2,16749.10890941077,Germany,Female,No,No,0
66,61914.0,599,17,4,14727.556355209093,UK,Male,Yes,No,1
63,90507.0,342,88,1,97307.67979122984,France,Male,No,Yes,0
48,147738.0,642,21,2,75929.25069184737,France,Male,No,Yes,0
52,99026.0,625,51,4,96776.1465269562,France,Female,No,No,1
50,135893.0,797,59,3,43974.04865079085,France,Female,No,Yes,0
69,131255.0,663,39,3,27836.84816626566,Germany,Female,No,Yes,0
38,130616.0,726,55,2,79829.31972091866,USA,Female,Yes,No,0
49,87526.0,320,41,3,32625.39180411468,Germany,Female,No,No,1
40,90835.0,706,39,1,29938.337370534828,France,Male,Yes,No,1
50,65765.0,635,13,4,23250.59922078312,Germany,Female,Yes,Yes,0
20,39956.0,416,64,1,12967.897822423536,France,Female,Yes,No,1
35,107895.0,423,11,1,25646.306101676597,Spain,Female,Yes,Yes,1
42,66240.0,698,110,3,35531.97484738877,USA,Male,Yes,Yes,0
59,141008.0,350,19,1,67399.42081457304,Spain,Female,Yes,Yes,0
